Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura,Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,Everest,K2,Kanchenjunga,Lhotse,Makalu,Cho Oyu,Dhaulagiri,Manaslu,Nanga Parbat,Annapurna I
nombre,orden,cordillera,pais,altura
Everest,Everest,K2,Kanchenjunga,Lhotse,Makalu,Cho Oyu,Dhaulagiri,Manaslu,Nanga Parbat,Annapurna I
1,1,2,3,4,5,6,7,8,9,10
Himalaya,Himalaya,Karakórum,Himalaya,Himalaya,Himalaya,Himalaya,Himalaya,Himalaya,Karakórum,Himalaya
Nepal,Nepal,Pakistán,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Pakistán,Nepal
8849,8849,8611,8586,8516,8485,8188,8167,8163,8125,8091
nombre,orden,cordillera,pais,altura
nombre,orden,cordillera,pais,altura
nombre,orden,cordillera,pais,altura
nombre,orden,cordillera,pais,altura
nombre,orden,cordillera,pais,altura
nombre,orden,cordillera,pais,altura
nombre,orden,cordillera,pais,altura
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
